(base) levilowther@Levis-MacBook-Pro streaming-02-multiple-processes-1 % python3 process_streaming_Lowther.py
2024-05-08 21:39:44,895 - INFO - ===============================================
2024-05-08 21:39:44,895 - INFO - Starting fake streaming process.
2024-05-08 21:39:44,895 - INFO - Starting to stream data from real_estate_prices.csv to ('localhost', 9999).
2024-05-08 21:39:44,895 - INFO - Opened for reading: real_estate_prices.csv.
2024-05-08 21:39:44,895 - INFO - Skipped header row: ['Serial Number', 'List Year', 'Date Recorded', 'Town', 'Address', 'Assessed Value', 'Sale Amount', 'Sales Ratio', 'Property Type', 'Residential Type', 'Non Use Code', 'Assessor Remarks', 'OPM remarks', 'Location']
2024-05-08 21:45:45,640 - INFO - Sent: b'[200020, 2020, 10/6/20, Groton, 98 EAST SHORE AVE, 654570, 990000, 0.661181818, Residential, Single Family, 07 - Change in Property, TEAR DOWN, , POINT (-72.00446 41.31252)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:45:48,646 - INFO - Sent: b'[200098, 2020, 11/6/20, Groton, 70 ATLANTIC AVE, 354550, 742500, 0.4775, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:45:51,656 - INFO - Sent: b'[200285, 2020, 4/12/21, Guilford, 30 GRANITE RD, 77840, 150000, 0.5189, Residential, Condo, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:45:54,659 - INFO - Sent: b'[200080, 2020, 11/5/20, Guilford, 2 WINTERBERRY RD, 239550, 480000, 0.499, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:45:57,671 - INFO - Sent: b'[20360, 2020, 1/22/21, Hartford, 1301 MAIN ST, 173670, 439900, 0.3947, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:00,677 - INFO - Sent: b'[20522, 2020, 3/11/21, Hartford, 26 BRANFORD ST, 35875, 165000, 0.2174, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:03,683 - INFO - Sent: b'[20565, 2020, 3/29/21, Hartford, 31 EATON ST, 61915, 249000, 0.2486, Residential, Two Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:06,694 - INFO - Sent: b'[20614, 2020, 4/8/21, Hartford, 55 STERLING ST, 52500, 220000, 0.2386, Residential, Two Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:09,705 - INFO - Sent: b'[20750, 2020, 5/6/21, Hartford, 3371 MAIN ST, 126560, 180000, 0.7031, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:12,715 - INFO - Sent: b'[20899, 2020, 6/21/21, Hartford, 159 RUSS ST, 137270, 278500, 0.4928, Apartments, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:15,719 - INFO - Sent: b'[2100369, 2021, 9/12/22, Madison, 119 ISLAND AVE, 486100, 1250000, 0.3888, Residential, Condo, , , , POINT (-72.600743512 41.270568157)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:18,729 - INFO - Sent: b'[201023, 2020, 7/26/21, Hartford, 410 MARKET ST, 435610, 525000, 0.8297, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:21,740 - INFO - Sent: b'[210086, 2021, 12/10/21, Madison, 164 MIDDLE BEACH RD, 1431600, 2241000, 0.638821954, Residential, Single Family, , , , POINT (-72.586913031 41.271236004)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:24,747 - INFO - Sent: b'[201129, 2020, 8/19/21, Hartford, 20 GIDDINGS ST, 114954, 360000, 0.3193, Residential, Two Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:27,759 - INFO - Sent: b'[210167, 2021, 5/13/22, Mansfield, OLD TURNPIKE RD PAR B, 50200, 100000, 0.502, Vacant Land, , , , , POINT (-72.24846462 41.831660405)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:30,770 - INFO - Sent: b'[200065, 2020, 3/31/21, Harwinton, WHETSTONE RD, 55380, 85000, 0.6515, Vacant Land, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:33,775 - INFO - Sent: b'[200125, 2020, 9/7/21, Harwinton, 167 BIRGE PARK RD, 194790, 360000, 0.541, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:36,787 - INFO - Sent: b'[11193, 2001, 8/2/02, Milford, 65 CHERRY ST BLDG B, 56980, 95000, 0.599789474, , , 1, , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:39,798 - INFO - Sent: b'[200230, 2020, 4/26/21, Killingly, 152 NORTH ST, 143220, 150000, 0.9548, Apartments, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:42,810 - INFO - Sent: b'[200043, 2020, 12/9/20, Killingworth, 46 TITUS COAN ROAD, 354040, 645000, 0.5488, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:45,821 - INFO - Sent: b'[20059, 2020, 2/18/21, Lebanon, 54 FIRST ST, 121510, 229900, 0.5285, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:48,829 - INFO - Sent: b'[20041, 2020, 3/9/21, Lisbon, 17 BARBER FARM RD, 76880, 90000, 0.8542, Vacant Land, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:51,838 - INFO - Sent: b'[200052, 2020, 11/16/20, Litchfield, 68 BEACH ST, 149570, 200000, 0.7478, Residential, Two Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:54,845 - INFO - Sent: b'[200010, 2020, 11/20/20, Lyme, 0 STERLING HILL RD, 101100, 250000, 0.4044, Vacant Land, , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:46:57,851 - INFO - Sent: b'[200709, 2020, 4/16/21, Manchester, 152 GREEN ROAD, 138100, 282500, 0.488849558, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:47:00,857 - INFO - Sent: b'[210776, 2021, 4/29/22, New Britain, 291 MAIN ST, 89390, 125000, 0.7151, Commercial, , , , , POINT (-72.781545014 41.668287009)]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:47:03,864 - INFO - Sent: b'[10096, 2001, 2/28/02, Putnam, 123 PARK RD, 139000, 200000, 0.695, , , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:47:06,870 - INFO - Sent: b'[200991, 2020, 7/8/21, Manchester, 64 MILFORD ROAD, 104300, 160000, 0.6518, Residential, Single Family, , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-08 21:47:09,876 - INFO - Sent: b'[201027, 2020, 7/19/21, Manchester, 200 SHELDON ROAD, 517700, 800000, 0.6471, Commercial, , , , , ]' on port 9999. Hit CTRL-c to stop.
^CTraceback (most recent call last):
  File "/Users/levilowther/ds-venv/streaming-02-multiple-processes-1/process_streaming_Lowther.py", line 88, in <module>
    stream_row(INPUT_FILE_NAME, ADDRESS_TUPLE)
  File "/Users/levilowther/ds-venv/streaming-02-multiple-processes-1/process_streaming_Lowther.py", line 78, in stream_row
    time.sleep(3) # wait 3 seconds between messages
    ^^^^^^^^^^^^^
KeyboardInterrupt
